dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;xD;yD;zD;prF;depPrF;concessionPrF;absF;cumulF;xF;yF;zF;anneeMesureTrafic;typeComptageTrafic;TMJA;RatioPL;lngD;latD;zzD;lngF;latF;zzF
2017-01-01;A0001;2440.0;0;93;N;0.0;0.0;653006.6;6867037.55;0;2;93;N;460.0;2440.0;652896.51;6869469.21;0;2017;Permanent horaire;180631;;2.358972869812577;48.90162368343154;0.0;2.357201206873803;48.92348222654345;0.0
2017-01-01;A0001;785.2;2;93;N;460.0;2440.0;652896.51;6869469.21;0;3;93;N;248.2;3225.2;653176.46;6870095.57;0;2017;Permanent horaire;180631;;2.357201206873803;48.92348222654345;0.0;2.360952208304529;48.929135103192074;0.0
2017-01-01;A0001;401.8;3;93;N;248.2;3225.2;653176.46;6870095.57;0;3;93;N;650.0;3627.0;653552.97;6870234.42;0;2017;Permanent horaire;180631;;2.360952208304529;48.929135103192074;0.0;2.366075382781108;48.93041097775484;0.0
2017-01-01;A0001;820.5;3;93;N;650.0;3627.0;653552.97;6870234.42;0;4;93;N;460.5;4447.5;654322.46;6870520.65;0;2017;Permanent horaire;180631;;2.366075382781108;48.93041097775484;0.0;2.3765463559277245;48.93303993920967;0.0
2017-01-01;A0001;229.5;4;93;N;460.5;4447.5;654322.46;6870520.65;0;4;93;N;690.0;4677.0;654547.05;6870570.75;0;2017;Permanent horaire;180631;;2.3765463559277245;48.93303993920967;0.0;2.3796062902987627;48.93350636041548;0.0
2017-01-01;A0001;210.0;4;93;N;690.0;4677.0;654547.05;6870570.75;0;4;93;N;900.0;4887.0;654756.08;6870595.85;0;2017;Permanent horaire;180631;;2.3796062902987627;48.93350636041548;0.0;2.382456574302546;48.93374680168417;0.0
2017-01-01;A0001;2018.0;4;93;N;900.0;4887.0;654756.08;6870595.85;0;6;93;N;900.0;6905.0;656726.57;6870935.0;0;2017;Permanent horaire;123200;;2.382456574302546;48.93374680168417;0.0;2.409316537373616;48.93693210618399;0.0
2017-01-01;A0001;102.0;6;93;N;900.0;6905.0;656726.57;6870935.0;0;7;93;N;0.0;7007.0;656822.64;6870968.37;0;2017;Permanent horaire;169100;;2.409316537373616;48.93693210618399;0.0;2.410624446855736;48.93723863447736;0.0
2017-01-01;A0001;1700.0;7;93;N;0.0;7007.0;656822.64;6870968.37;0;8;93;N;700.0;8707.0;658431.5;6871533.03;0;2017;Permanent horaire;169100;;2.410624446855736;48.93723863447736;0.0;2.4325293952784404;48.942422196766394;0.0
2017-01-01;A0001;2818.0;8;93;N;700.0;8707.0;658431.5;6871533.03;0;11;93;N;513.0;11525.0;660672.78;6873225.94;0;2017;Permanent horaire;185162;;2.4325293952784404;48.942422196766394;0.0;2.462967987716125;48.9577861718849;0.0
2017-01-01;A0001;678.0;11;93;N;513.0;11525.0;660672.78;6873225.94;0;12;93;N;200.0;12203.0;661187.1;6873671.24;0;2017;Permanent horaire;122500;;2.462967987716125;48.9577861718849;0.0;2.4699502433788187;48.9618216275408;0.0
2017-01-01;A0001;1202.0;12;93;N;200.0;12203.0;661187.1;6873671.24;0;0;95;N;0.0;13405.0;662045.66;6874523.29;0;2017;Permanent horaire;122500;;2.4699502433788187;48.9618216275408;0.0;2.4815984665664907;48.96953461027892;0.0
2017-01-01;A0001;4936.5;14;95;N;0.0;13985.0;662454.63;6874929.45;0;18;95;N;926.5;18921.5;665443.12;6878778.92;0;2017;Permanent horaire;58700;;2.4871482186447875;48.97321084342662;0.0;2.5276540099369633;49.00799262445064;0.0
2017-01-01;A0001;3.5;18;95;N;926.5;18921.5;665443.12;6878778.92;0;18;95;N;930.0;18925.0;665444.29;6878782.2;0;2017;Permanent horaire;58700;;2.5276540099369633;49.00799262445064;0.0;2.527669733703396;49.00802218045096;0.0
2017-01-01;A0001;0.8;20;95;C;499.0;20494.0;665966.61;6880317.6;0;20;95;C;499.8;20494.8;665966.84;6880318.28;0;2017;Permanent horaire;100048;16.5;2.5346853107373986;49.02185597149435;0.0;2.5346884005075294;49.02186209802073;0.0
